560.806152344,1339.38549805,ow
605.553527832,1465.89624023,ow
699.231079102,1501.06164551,ow
435.408050537,1745.7487793,ax
318.354309082,2291.07324219,ey
276.897918701,2006.33325195,ey
379.84463501,1706.66845703,uw
246.996658325,1131.76123047,ow
528.46472168,2343.23486328,ey
1409.30212402,1929.22070312,ow
448.540863037,2357.74487305,ih
244.233825684,1281.27319336,ow
415.795196533,2110.01391602,uw
588.778991699,1445.28479004,ow
458.360473633,1334.33190918,ow
304.367462158,2366.32006836,iy
634.320983887,1921.76257324,eh
424.10055542,1933.15283203,ih
421.230773926,2251.39233398,ih
445.044769287,2324.04418945,ih
223.776916504,1632.64343262,ow
214.969467163,1055.31970215,ow
650.975891113,1482.6217041,ow
383.524658203,1913.26757812,uw
445.614959717,1906.8873291,iy
440.707641602,2197.81542969,uw
433.044433594,1947.58886719,iy
422.779327393,881.481079102,ao
442.507354736,2361.03515625,ih
437.169769287,2408.94799805,ey
421.327453613,2522.31201172,ey
381.565734863,1741.86694336,uw
626.632324219,1878.09936523,eh
286.590454102,2057.63476562,uw
628.690795898,1312.1394043,ow
537.570251465,1879.74951172,eh
260.436828613,1115.44763184,ow
242.877914429,2552.72119141,iy
641.232666016,1374.83361816,ow
605.142578125,1287.85437012,ow
379.676330566,1691.74658203,uw
766.152404785,1622.3046875,ow
510.44152832,1241.62792969,ow
639.698242188,1448.47180176,ow
421.947814941,2525.54492188,iy
615.45501709,2302.83447266,iy
406.585693359,2477.6965332,ey
237.998794556,1322.88452148,uw
642.877075195,1966.24035645,eh
409.184295654,1844.71862793,uw
430.353881836,1644.43725586,iy
283.550476074,1569.52001953,eh
446.854431152,1541.65686035,ah
653.793701172,1350.84838867,ow
618.894165039,1418.84216309,ow
631.635437012,1840.87658691,eh
419.726257324,2398.68676758,ey
402.973327637,2241.84033203,ih
370.218383789,2483.14257812,ih
453.429260254,1876.26330566,ax
534.380371094,1385.03564453,ow
397.386688232,2300.6953125,ih
411.864349365,2428.58740234,ey
416.376068115,2086.87402344,iy
224.01574707,1172.37451172,uw
567.894592285,1241.15393066,ow
400.242767334,2446.62695312,ey
358.055786133,2607.02539062,iy
424.926177979,2537.49243164,ey
239.759841919,2106.52856445,ih
231.479415894,1045.82873535,ow
426.857788086,2078.25854492,uw
603.249755859,1319.56726074,ow
714.441223145,1566.20544434,ow
468.140136719,1309.61340332,ah
465.660705566,2058.22314453,ih
395.308868408,2465.61914062,ey
408.268341064,2606.59301758,iy
402.457733154,1720.20727539,eh
440.264068604,1722.85412598,ah
391.432159424,2517.26782227,ey
402.666107178,1933.97583008,ah
446.601318359,2353.2253418,ey
419.534637451,1564.86706543,ow
218.330123901,1142.12268066,ow
426.873168945,1797.19726562,ax
479.185302734,1227.4967041,ow
601.949462891,1473.05822754,ow
229.625061035,1090.59484863,ow
489.432769775,963.298400879,ao
628.408447266,1399.66906738,ow
211.961135864,1850.2902832,ow
432.378692627,2548.17651367,ey
424.02835083,2145.26269531,uw
617.310241699,1359.80541992,ow
460.819580078,2179.47607422,ih
371.764282227,2376.40625,ax
342.672485352,2006.40734863,uw
456.466827393,2439.77099609,ey
420.071472168,1117.09265137,ow
672.591796875,1391.89343262,ow
314.279541016,1615.62561035,eh
560.671386719,2337.65917969,ey
318.321105957,2602.50488281,iy
403.345489502,2538.22558594,ey
462.643188477,1329.72070312,ao
617.692138672,2445.69067383,ey
533.927307129,1339.7364502,ow
227.354690552,1663.13317871,ow
419.488952637,852.524536133,ao
602.230529785,1344.60522461,ow
469.203826904,822.658691406,ao
525.436218262,1271.34387207,ow
447.076202393,2259.81469727,ih
433.603759766,2100.27197266,uw
514.167297363,2368.33837891,ey
246.390899658,2343.37207031,iy
457.52935791,1795.05407715,ax
337.742858887,1683.7454834,ax
491.637786865,2247.14794922,ey
422.50769043,2555.56738281,ey
417.475708008,2337.60449219,iy
647.085021973,1483.14428711,ow
600.461914062,1368.94677734,ow
402.843383789,2113.81958008,uw
418.380767822,2401.39306641,ih
372.418426514,1872.50646973,uw
360.448730469,2083.00024414,ey
321.899780273,1752.53820801,ow
623.030212402,1252.30175781,ow
446.760559082,2509.26782227,ey
484.884094238,2216.85253906,ih
368.479827881,2632.07617188,iy
358.343017578,864.390197754,ow
368.399353027,2174.2109375,uw
590.996826172,1801.45593262,eh
443.090087891,2089.87524414,iy
433.327697754,2344.27929688,ih
398.715026855,2312.77783203,ih
392.946716309,816.709106445,ao
619.001831055,1461.85412598,ah
337.721008301,1524.4765625,eh
415.664886475,2465.62792969,iy
546.243713379,1135.52282715,ow
226.407592773,1195.80371094,uw
378.100067139,1104.13232422,ow
655.763549805,1316.15161133,ow
402.228759766,2412.27661133,ey
648.278991699,1297.47045898,ah
589.81463623,1958.47546387,eh
500.0,1500.0,ih
375.899200439,2076.41870117,uw
580.001098633,1379.67578125,ow
609.490356445,1268.17236328,ow
449.32989502,859.762390137,ao
447.017608643,2045.48266602,uw
373.536529541,1536.45959473,uw
462.485534668,1526.66833496,ah
616.09765625,1841.7845459,eh
481.33291626,2423.12109375,ey
470.819366455,1718.19885254,ax
443.447387695,1543.38879395,iy
220.696289062,1185.78308105,uw
396.552307129,1946.63037109,uw
401.022857666,1316.51855469,ow
368.292999268,1845.67541504,uw
386.101806641,1695.43054199,uw
644.289916992,1941.36853027,eh
473.259002686,1236.56262207,ow
429.6875,2372.30957031,iy
546.338256836,1858.1105957,ah
630.505249023,1261.32763672,ow
683.535583496,1567.13769531,ow
268.596038818,1491.67028809,uw
358.532562256,1710.92590332,ow
